Lab,ComputerName,SerialNumber,MAC,Owner,BusinessJustification
PARKINSON,CN:TYPHOON,,,Parkinson,
PHADNIS,CN:F-PHA-BIOL212F-SYNOLOGY,,,Phadnis,
ROG,CN:F-ROG-ASB353-WD-NAS,,,Rog,
ROSE,CN:F-ROS-ASB387-APEX-AQUA-CTRL-037,,,Rose,
SHAPIRO,CN:F-SHA-BIOL325-X-NANODROP,5CD32746SG,MAC:A4:5D:36:77:AC:4F,Shapiro,
SHAPIRO,CN:SHAPIRO_DRIVE,18C0PDN612008,MAC:00:11:32:A1:75:5F 00:11:32:A1:75:60,Shapiro,
SHAPIRO,CN:F-SHA-BIOL325-X-DS918-2,1910PDN970903,MAC:00:11:32:A6:88:4F 00:11:32:A6:88:50,Shapiro,
SHAPIRO,CN:F-SHA-BIOL325C-X-DELL-PHOTOS,9380WG3,MAC:B4:45:06:56:79:E0,Shapiro,
SHAPIRO,CN:F-SHA-BIOL325-X-DELL-OPTIPLEX,C0NVNB1,MAC:00:13:72:AA:0B:60,Shapiro,
SHAPIRO,CN:F-SHA-BIOL325-IMAC20171,C02TW0UUJ1GQ,MAC:98:10:E8:F3:88:95,Shapiro,
SHAPIRO,CN:F-SHA-BIOL325-IMAC2014,D25QF078FY14,MAC:38:C9:86:02:C9:CA,Shapiro,
SHAPIRO,CN:F-SHA-BIOL325E-X-DELL-MICROSCOPE,DPJ4DP2,MAC:D8:9E:F3:8F:D9:98,Shapiro,
VIERRA,CN:REALPLEX2,5C3Q2C1,MAC:02:59:4E:A4:4E:CE,Vierra,
VIERRA,CN:F-VIE-ASB331-X-PATCH-CLAMP-PMAC-G5,YM5250UJRU2,MAC:00:11:24:CA:01:F0,Vierra,
